"Description","Link"
"Project Website","https://reactjs.org"
"Project Website","https://reactnative.dev"
"Project Website Documentation","https://reactjs.org/docs/getting-started.html"
"Project Website Documentation","https://reactjs.org/docs/introducing-jsx.html"
"Project Website Documentation","https://reactjs.org/docs/add-react-to-a-website.html"
"Project Website Documentation","https://reactjs.org/docs/how-to-contribute.html"
"Project Website Documentation","https://reactjs.org/docs/create-a-new-react-app.html"
"Project Website Documentation","https://reactjs.org/docs/cdn-links.html"
"Project Website Documentation","https://reactjs.org/tutorial/tutorial.html"
"Project Website Documentation","https://reactjs.org/docs/hello-world.html"
"Project Website Documentation","https://reactjs.org/docs/jsx-in-depth.html"
"Project Website Documentation","https://reactjs.org/docs/react-api.html"
"Project Website Documentation","https://reactjs.org/community/support.html"
"Project Website Documentation","https://reactjs.org/docs/how-to-contribute.html"
"Contributer Covenant","https://www.contributor-covenant.org"
"Contributer Covenant","https://www.contributor-covenant.org/version/1/4/code-of-conduct/"
"Contributer Covenant","https://www.contributor-covenant.org/faq/"
"Open Source Code of Conduct","https://opensource.fb.com/code-of-conduct/"
"Bug Bounty Program","https://www.facebook.com/whitehat"
"Good First Issues","https://github.com/facebook/react/labels/good%20first%20issue"
"npm","https://www.npmjs.com/package/react"
