"Description","Link"
"Project Website Documentation","https://laravel.com/docs/9.x/routing"
"Project Website Documentation","https://laravel.com/docs/9.x/container"
"Project Website Documentation","https://laravel.com/docs/9.x/session"
"Project Website Documentation","https://laravel.com/docs/9.x/cache"
"Project Website Documentation","https://laravel.com/docs/9.x/eloquent"
"Project Website Documentation","https://laravel.com/docs/9.x/migrations"
"Project Website Documentation","https://laravel.com/docs/9.x/queues"
"Project Website Documentation","https://laravel.com/docs/9.x/broadcasting"
"Project Website Documentation","https://laravel.com/docs/9.x"
"Project Website Documentation","https://laravel.com/docs/9.x/contributions"
"License","https://opensource.org/licenses/MIT"
"Laracasts","https://laracasts.com"
