"Description","Link"
"Project Website","tensorflow.org"
"Google Groups","https://groups.google.com/a/tensorflow.org/g/discuss"
"StackOverflow Questions","https://stackoverflow.com/questions/tagged/tensorflow"
"ML Glossary","https://developers.google.com/machine-learning/glossary/"
"NSJAil","https://github.com/google/nsjail"
"CVE Details","https://www.cvedetails.com/cve/CVE-2017-12852/"
"VPC","https://cloud.google.com/vpc/docs/vpc"
"AWS","https://aws.amazon.com/tr/vpc/"
"Stack Overflow Questions","https://stackoverflow.com/questions/tagged/tensorflow"
"Contributor Covenant","https://www.contributor-covenant.org/version/1/4/code-of-conduct/"
"C/C++ license example","https://github.com/tensorflow/tensorflow/blob/master/tensorflow/core/framework/op.cc#L1"
"Python license example","https://github.com/tensorflow/tensorflow/blob/master/tensorflow/python/ops/nn.py#L1"
"Java license example","https://github.com/tensorflow/tensorflow/blob/master/tensorflow/java/src/main/java/org/tensorflow/Graph.java#L1"
"Go license example","https://github.com/tensorflow/tensorflow/blob/master/tensorflow/go/operation.go#L1"
"Bash license example","https://github.com/tensorflow/tensorflow/blob/master/tensorflow/tools/ci_build/ci_sanity.sh#L2"
"HTML license example","https://github.com/tensorflow/tensorboard/blob/master/tensorboard/components/tf_backend/tf-backend.html#L2"
"JavaScript/TypeScript license example","https://github.com/tensorflow/tensorboard/blob/master/tensorboard/components/tf_backend/backend.ts#L1"
"CLA","https://cla.developers.google.com/clas"
"CLA-individual","https://cla.developers.google.com/about/google-individual?csw=1"
"CLA-corporate","https://cla.developers.google.com/about/google-corporate?csw=1"
"how-to-pull-request","https://docs.github.com/en/pull-requests/collaborating-with-pull-requests/proposing-changes-to-your-work-with-pull-requests/about-pull-requests"
"good first issues","https://github.com/tensorflow/tensorflow/labels/good%20first%20issue"
"contributions welcome tagged issues","https://github.com/tensorflow/tensorflow/labels/stat%3Acontributions%20welcome"
"api-reviews","https://github.com/tensorflow/community/blob/master/governance/api-reviews.md"
" Google C++ Style Guide","https://google.github.io/styleguide/cppguide.html"
"Google Java Style Guide","https://google.github.io/styleguide/javaguide.html"
"Google JavaScript Style Guide","https://google.github.io/styleguide/jsguide.html"
"Google Shell Style Guide","https://google.github.io/styleguide/shellguide.html"
"Google Objective-C Style Guide","https://google.github.io/styleguide/objcguide.html"
"Google Python Style Guide","https://github.com/google/styleguide/blob/gh-pages/pyguide.md"
"dockerhub","https://hub.docker.com/r/tensorflow/tensorflow/tags/"
"docker","https://www.docker.com"
"SIG Meeting Build Notes","https://docs.google.com/document/d/10_3IQ5aF-88ADJNLF0WOpb09bZ15x-sBnRSnDHNCNr8/edit#heading=h.u7w1oawlfu32"
"build guides","https://github.com/tensorflow/build"
"addons","https://github.com/tensorflow/addons"
"Tensorflow Website - tools","https://www.tensorflow.org/resources/tools"
"Tensorflow Website -Libraries & extensions","https://www.tensorflow.org/resources/libraries-extensions"
"Tensorflow Website - community","https://www.tensorflow.org/community"
"Tensorflow Website -all symbols","https://www.tensorflow.org/api_docs/python/tf/all_symbols"
"Tensorflow Website - c++ api","https://www.tensorflow.org/api_docs/cc"
"Tensorflow Website - api docs","https://www.tensorflow.org/api_docs"
"Tensorflow Website -mailing lists","https://www.tensorflow.org/community/mailing-lists"
"Tensorflow Website - Installation Guide","https://www.tensorflow.org/install"
"Tensorflow Website - Contribute","https://www.tensorflow.org/community/contribute"
