"Description","Link"
"Project Website","https://getbootstrap.com"
"Project Website Documentation","https://getbootstrap.com/docs/5.1/getting-started/introduction/"
"Project Website Documentation","https://getbootstrap.com/docs/versions/"
"Project Website Themes","https://themes.getbootstrap.com"
"Project Website Blog","https://blog.getbootstrap.com"
"Report a bug","https://github.com/twbs/bootstrap/issues/new?assignees=-&labels=bug&template=bug_report.yml"
"Feature Request","https://github.com/twbs/bootstrap/issues/new?assignees=&labels=feature&template=feature_request.yml"
"New Issue","https://github.com/twbs/bootstrap/issues/new"
"hugo","https://gohugo.io"
"hugo doc","https://gohugo.io/documentation/"
"docsearch","https://docsearch.algolia.com"
"Releases","https://github.com/twbs/bootstrap/releases"
"Code Guide","https://github.com/mdo/code-guide"
"EditorConfig","https://editorconfig.org"
"editorconfig","https://github.com/twbs/bootstrap/blob/main/.editorconfig"
"twitter","https://twitter.com/getbootstrap"
"slack","https://bootstrap-slack.herokuapp.com"
"Questions tagged [bootstrap-5]","https://stackoverflow.com/questions/tagged/bootstrap-5"
"Semantic Versioning 2.0.0","https://semver.org"
"contributors","https://github.com/twbs/bootstrap/graphs/contributors"
"creativecommons","https://creativecommons.org/licenses/by/3.0/"
"popper","https://popper.js.org"
"Map Preprocessed Code to Source Code","https://developer.chrome.com/docs/devtools/javascript/source-maps/"
"nuget","https://www.nuget.org"
"Dependency Manager for PHP","https://getcomposer.org"
"yarn","https://yarnpkg.com"
"Creator","https://github.com/mdo"
"npm bootstrap","https://www.npmjs.com/search?q=keywords:bootstrap"
"npm","https://www.npmjs.com"
"jasmine","https://jasmine.github.io"
"jasmine api","https://jasmine.github.io/pages/docs_home.html"
"karma","https://karma-runner.github.io/latest/index.html"
"Issues","https://github.com/twbs/bootstrap/issues"
"Add Reactions to Pull Requests, Issues, and Comments","https://github.blog/2016-03-10-add-reactions-to-pull-requests-issues-and-comments/"
"labels","https://github.com/twbs/bootstrap/labels"
"Nu Html Checker","https://html5.validator.nu"
"reduced test case","https://css-tricks.com/reduced-test-cases/"
"JS Bin","https://jsbin.com/lolome/edit?html,output"
"mozilla bug report","https://bugzilla.mozilla.org/enter_bug.cgi"
"bug report Apple Safari WebKit", "https://bugs.webkit.org/enter_bug.cgi?product=WebKit"
"chrome bug report","https://bugs.chromium.org/p/chromium/issues/list"
"microsoft edge bug report","https://developer.microsoft.com/en-us/microsoft-edge/"
"fork a repo","https://docs.github.com/en/get-started/quickstart/fork-a-repo"
"git commit messages","https://tbaggery.com/2008/04/19/a-note-about-git-commit-messages.html"
"git interactive rebase", "https://docs.github.com/en/get-started/using-git/about-git-rebase"
"pull requests","https://docs.github.com/en/pull-requests/collaborating-with-pull-requests/proposing-changes-to-your-work-with-pull-requests/about-pull-requests"
"html guide","https://codeguide.co/#html"
"attribute conventions for accesibility","https://developer.mozilla.org/en-US/docs/Web/Accessibility/ARIA"
"css guide","https://codeguide.co/#css"
" WCAG color contrast guidelines","https://www.w3.org/TR/WCAG20/#visual-audio-contrast"
"example case","https://www.a11yproject.com/posts/never-remove-css-outlines/"
"Contributor Covenant","https://www.contributor-covenant.org"
"Contributor Covenant","https://www.contributor-covenant.org/version/1/4/code-of-conduct/"
