"Description","Link"
"Project Website","https://vuejs.org"
"Browser Compatibility","https://kangax.github.io/compat-table/es5/"
"Live Examples","https://vuejs.org/v2/examples/"
"Vue Related Tools","https://github.com/vuejs/awesome-vue"
"Vue Forum","https://forum.vuejs.org"
"Discord","https://discord.com/invite/HBherRA"
"Issue Helper","https://new-issue.vuejs.org/?repo=vuejs/core"
"Node.js","https://nodejs.org/en/"
"Yarn","https://classic.yarnpkg.com/en/docs/install#windows-stable"
"JRE","https://www.oracle.com/java/technologies/downloads/"
"Flow","https://flow.org"
"Jasmine","https://jasmine.github.io"
"Karma","http://karma-runner.github.io/0.13/index.html"
"Nightwatch.js","https://nightwatchjs.org"
"Contributer Covenant","https://www.contributor-covenant.org/version/1/0/0/code-of-conduct/"
"Angular's commit convention","https://github.com/conventional-changelog/conventional-changelog/tree/master/packages/conventional-changelog-angular"
"UMD","https://github.com/umdjs/umd"
"CommonJS","http://wiki.commonjs.org/wiki/Modules/1.1"
"ES Module","https://exploringjs.com/es6/ch_modules.html"
"browserify","https://browserify.org"
"webpack","https://webpack.github.io"
"Rollup.js","https://rollupjs.org/guide/en/"
"envify","https://github.com/hughsk/envify"
